,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
435,1000.00,946.70,893.62,840.98,788.99,737.86,687.76,638.88,591.36,545.34,500.91,458.17,417.18,377.96,340.52,304.83,270.87,238.54,207.76,178.42,150.38,123.49,97.58,72.47,47.97,23.88,0.00
436,1000.00,946.75,893.73,841.14,789.20,738.12,688.06,639.22,591.73,545.74,501.33,458.61,417.62,378.40,340.96,305.26,271.28,238.93,208.12,178.75,150.67,123.73,97.78,72.62,48.07,23.93,0.00
437,1000.00,946.81,893.84,841.30,789.42,738.38,688.37,639.56,592.11,546.14,501.75,459.04,418.07,378.85,341.39,305.69,271.69,239.31,208.48,179.07,150.95,123.98,97.98,72.77,48.17,23.98,0.00
438,1000.00,946.86,893.95,841.46,789.63,738.63,688.67,639.90,592.48,546.53,502.17,459.48,418.51,379.29,341.83,306.11,272.09,239.70,208.84,179.39,151.24,124.22,98.18,72.92,48.28,24.04,0.00
439,1000.00,946.92,894.06,841.63,789.84,738.89,688.97,640.23,592.85,546.93,502.59,459.91,418.94,379.73,342.27,306.54,272.50,240.08,209.19,179.72,151.52,124.47,98.38,73.08,48.38,24.09,0.00
440,1000.00,946.97,894.16,841.79,790.05,739.15,689.26,640.57,593.21,547.32,503.00,460.34,419.38,380.17,342.70,306.96,272.90,240.46,209.54,180.04,151.81,124.71,98.57,73.23,48.48,24.14,0.00
441,1000.00,947.03,894.27,841.95,790.26,739.40,689.56,640.90,593.58,547.72,503.42,460.76,419.82,380.60,343.13,307.38,273.31,240.84,209.90,180.36,152.09,124.95,98.77,73.38,48.58,24.19,0.00
442,1000.00,947.08,894.38,842.11,790.47,739.66,689.86,641.24,593.95,548.11,503.83,461.19,420.25,381.04,343.56,307.80,273.71,241.22,210.25,180.67,152.37,125.19,98.97,73.53,48.68,24.24,0.00
443,1000.00,947.14,894.49,842.26,790.67,739.91,690.15,641.57,594.31,548.50,504.24,461.61,420.68,381.47,343.99,308.22,274.11,241.60,210.60,180.99,152.65,125.43,99.16,73.68,48.78,24.29,0.00
444,1000.00,947.19,894.59,842.42,790.88,740.16,690.45,641.90,594.67,548.89,504.65,462.04,421.11,381.90,344.42,308.64,274.51,241.98,210.95,181.31,152.93,125.67,99.36,73.82,48.88,24.34,0.00
445,1000.00,947.24,894.70,842.58,791.09,740.41,690.74,642.23,595.03,549.27,505.05,462.46,421.54,382.34,344.84,309.05,274.91,242.35,211.30,181.62,153.21,125.91,99.55,73.97,48.98,24.39,0.00
446,1000.00,947.30,894.81,842.74,791.29,740.66,691.03,642.56,595.39,549.66,505.46,462.88,421.97,382.76,345.27,309.46,275.31,242.73,211.64,181.94,153.49,126.14,99.75,74.12,49.08,24.44,0.00
447,1000.00,947.35,894.91,842.89,791.49,740.91,691.32,642.88,595.75,550.04,505.86,463.30,422.40,383.19,345.69,309.87,275.70,243.10,211.99,182.25,153.76,126.38,99.94,74.27,49.18,24.49,0.00
448,1000.00,947.40,895.02,843.05,791.70,741.16,691.61,643.21,596.11,550.42,506.27,463.71,422.82,383.62,346.11,310.29,276.09,243.47,212.33,182.56,154.04,126.62,100.13,74.41,49.28,24.54,0.00
449,1000.00,947.46,895.12,843.20,791.90,741.41,691.90,643.53,596.46,550.81,506.67,464.13,423.24,384.04,346.53,310.69,276.49,243.84,212.68,182.87,154.31,126.85,100.32,74.56,49.38,24.59,0.00
